,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
266999,428,1062,3,3286.27,0.11338915497499215,0.15692337214534297,3601.926252018697,394.7444123906141,2014-12-02
267000,582,1115,8,3327.845625,0.1383577463952925,0.12572226491003494,3440.943189585497,460.1373764927297,2014-12-02
267001,283,601,3,4728.663333333333,0.3680908694329035,0.40366698771531,5182.380898409711,1844.0276370411837,2014-12-02
267002,742,1368,6,762.4499999999999,0.1270279906242093,0.14974748251224307,797.800295857506,97.94262870044933,2014-12-02
267004,210,486,3,2608.536666666667,0.42760568562021606,0.4382844713913375,2859.322434511173,1181.9921493360566,2014-12-02
267005,559,1139,4,2285.1400000000003,0.15073891807200362,0.19412573071433925,2446.1603593357086,356.3785489933955,2014-12-02
267008,399,1057,2,3887.3900000000003,0.10816835520515174,0.1681773542489433,4475.317609145249,467.87865700295345,2014-12-02
267010,379,798,3,3249.436666666667,0.2579213831024705,0.31451557541879643,3561.567348893289,887.9241048806803,2014-12-02
267012,0,770,1,3673.02,0.043234985008553724,0.06694290376602927,4981.538725232992,208.18423817683203,2014-12-02
267014,1055,1406,8,4951.78125,0.45933366487387456,0.4707523823759206,5119.877843680963,2272.810873247056,2014-12-02
267015,493,1020,3,3421.08,0.18283680474186348,0.24824941690418614,3749.639837457694,662.6255868715896,2014-12-02
267016,857,1257,6,2121.2316666666666,0.3526889137090398,0.3975159051689416,2218.6410479684264,756.2550155771871,2014-12-02
267017,645,1142,5,3260.4129999999996,0.2190463946869185,0.2566386572661876,3441.3926616342937,728.5711615788924,2014-12-02
267018,793,1348,2,1133.73,0.18905306242488606,0.3325431288809427,1306.4279814561594,238.69656667880434,2014-12-02
267019,766,1147,4,3482.1312500000004,0.3410084496023244,0.4406885725524051,3727.072599843057,1228.3815793220062,2014-12-02
267020,811,1314,8,2632.93875,0.21332918271601156,0.2107966367302759,2722.5013894022622,561.310063357921,2014-12-02
267021,684,1180,3,2751.081666666667,0.22445616866805107,0.3271366758423654,3015.511389606506,654.1662710269093,2014-12-02
