cust_id,RFM_Level_Dec_2014,RFM_Level_May_2014,RFM_Level_Dec_2013
268004,Top,Top,Middle
268005,Top,Top,Middle
268006,Top,Top,Middle
268008,Top,Top,Top
268011,Top,Top,Top
268012,Top,Top,Middle
268014,Top,Top,Top
268015,Middle,Middle,Middle
268016,Middle,Middle,Middle
268017,Top,Top,Top
268018,Top,Top,Top
268021,Top,Top,Middle
268022,Middle,Middle,Middle
268024,Top,Top,Top
268025,Top,Top,Top
268026,Middle,Middle,Middle
268027,Top,Top,Middle
268028,Middle,Middle,Middle
268029,Top,Top,Top
268032,Top,Top,Top
268033,Middle,Middle,Middle
268037,Middle,Middle,Middle
268039,Middle,Middle,Middle
268041,Top,Top,Top
268043,Middle,Middle,Middle
268044,Top,Top,Top
268046,Top,Top,Top
268047,Top,Top,Top
268048,Middle,Middle,Top
268049,Top,Top,Top
268050,Top,Top,Top
268051,Top,Top,Top
268052,Top,Top,Middle
268054,Top,Top,Top
268055,Top,Top,Top
268056,Top,Top,Top
268057,Top,Top,Top
268060,Middle,Middle,Top
268061,Middle,Top,Top
268062,Top,Top,Top
268063,Middle,Middle,Top
268065,Top,Top,Top
268066,Middle,Middle,Middle
268067,Middle,Middle,Middle
268068,Top,Top,Top
268069,Top,Top,Top
268070,Middle,Middle,Top
268073,Top,Top,Top
268074,Middle,Middle,Middle
268076,Top,Top,Top
268077,Middle,Middle,Top
268078,Middle,Middle,Top
268079,Middle,Middle,Low
268080,Middle,Middle,Top
268081,Middle,Middle,Top
268082,Top,Top,Top
268084,Middle,Middle,Middle
268086,Middle,Middle,Top
268087,Middle,Middle,Top
268089,Low,Low,Low
268090,Top,Low,Low
268092,Top,Top,Top
268093,Middle,Middle,Middle
268096,Top,Top,Middle
268097,Top,Middle,Top
268098,Top,Top,Top
268099,Top,Top,Middle
268100,Top,Middle,Top
268101,Top,Middle,Middle
268102,Top,Top,Middle
268104,Top,Top,Middle
268106,Top,Top,Top
268107,Middle,Middle,Middle
268108,Top,Top,Top
268109,Top,Top,Top
268110,Middle,Middle,Middle
268119,Top,Top,Top
268122,Top,Top,Top
268126,Middle,Middle,Middle
268127,Top,Top,Top
268129,Top,Top,Middle
268131,Top,Top,Top
268132,Middle,Middle,Middle
268133,Top,Top,Top
268136,Top,Middle,Low
268137,Middle,Middle,Middle
268138,Middle,Middle,Top
268139,Top,Top,Top
268140,Top,Top,Top
268141,Top,Top,Top
268143,Middle,Middle,Top
268144,Top,Top,Top
268145,Top,Top,Top
268146,Top,Top,Middle
268147,Middle,Middle,Middle
268148,Middle,Low,Middle
268149,Top,Top,Top
268150,Middle,Middle,Middle
268151,Top,Top,Top
268152,Middle,Middle,Middle
268153,Top,Top,Top
268157,Middle,Middle,Middle
268159,Top,Middle,Middle
268160,Middle,Middle,Middle
268161,Top,Top,Top
268162,Middle,Middle,Middle
268164,Top,Top,Middle
268166,Middle,Middle,Middle
268167,Top,Top,Top
268168,Middle,Middle,Top
268169,Top,Top,Top
268170,Top,Top,Top
268171,Top,Top,Middle
268172,Top,Top,Top
268173,Top,Top,Top
268174,Top,Top,Top
268177,Top,Top,Top
268179,Low,Low,Low
268180,Top,Top,Top
268183,Top,Top,Top
268184,Middle,Middle,Middle
268186,Top,Top,Top
268187,Middle,Middle,Middle
268189,Top,Top,Top
268191,Middle,Middle,Middle
268193,Top,Top,Middle
268196,Top,Top,Top
268197,Middle,Middle,Middle
268198,Middle,Middle,Middle
268199,Middle,Low,Middle
268200,Top,Top,Middle
268202,Top,Top,Top
268203,Top,Top,Top
268204,Middle,Middle,Middle
268205,Top,Top,Top
268207,Low,Low,Low
268209,Middle,Middle,Middle
268211,Top,Top,Top
268216,Middle,Middle,Middle
268218,Top,Top,Top
268220,Top,Top,Top
268221,Top,Top,Top
268223,Middle,Middle,Middle
268225,Top,Top,Top
268226,Top,Top,Top
268228,Low,Low,Low
268229,Top,Top,Middle
268231,Top,Top,Middle
268232,Top,Top,Top
268240,Top,Top,Top
268241,Middle,Middle,Middle
268243,Top,Top,Top
268245,Top,Top,Top
268246,Middle,Middle,Middle
268250,Middle,Top,Top
268251,Top,Top,Middle
268255,Top,Top,Top
268260,Middle,Middle,Middle
268261,Middle,Middle,Top
268263,Middle,Middle,Middle
268266,Top,Top,Top
268268,Top,Top,Top
268269,Middle,Middle,Middle
268271,Middle,Middle,Middle
268274,Top,Top,Top
268275,Top,Top,Middle
268277,Middle,Low,Low
268279,Middle,Top,Top
268281,Middle,Middle,Middle
268282,Middle,Top,Top
268284,Top,Top,Middle
268285,Top,Top,Top
268286,Top,Top,Top
268287,Middle,Middle,Middle
268288,Top,Top,Top
268289,Middle,Middle,Middle
268290,Middle,Middle,Middle
268291,Middle,Middle,Middle
268292,Low,Low,Low
268293,Top,Top,Top
268295,Top,Top,Top
268297,Top,Top,Top
268299,Top,Middle,Top
268300,Middle,Middle,Middle
268301,Top,Top,Top
268302,Middle,Middle,Middle
268304,Top,Top,Top
268305,Middle,Middle,Top
268307,Low,Low,Low
268308,Middle,Middle,Middle
268312,Middle,Middle,Middle
268313,Top,Top,Top
268315,Middle,Middle,Middle
268317,Middle,Middle,Middle
268319,Top,Top,Top
268323,Top,Top,Top
268326,Top,Top,Top
268327,Middle,Middle,Middle
268328,Middle,Middle,Top
268329,Middle,Middle,Middle
268331,Middle,Middle,Middle
268332,Middle,Middle,Middle
268333,Middle,Middle,Top
268334,Low,Low,Middle
268335,Top,Top,Top
268337,Middle,Middle,Low
268338,Middle,Middle,Middle
268339,Middle,Middle,Middle
268342,Top,Top,Top
268343,Middle,Middle,Middle
268344,Top,Top,Top
268345,Top,Top,Top
268346,Top,Middle,Middle
268347,Middle,Middle,Low
268348,Top,Top,Top
268350,Top,Top,Top
268351,Middle,Middle,Middle
268352,Top,Top,Top
268353,Top,Top,Top
268354,Top,Top,Top
268356,Middle,Middle,Middle
268359,Top,Top,Top
268360,Top,Top,Top
268363,Top,Top,Top
268364,Top,Top,Top
268365,Top,Top,Top
268366,Top,Middle,Low
268367,Middle,Middle,Middle
268368,Top,Top,Top
268369,Top,Top,Top
268370,Middle,Middle,Middle
268371,Middle,Middle,Middle
268372,Top,Top,Top
268376,Top,Middle,Top
268377,Top,Top,Top
268379,Top,Top,Top
268383,Top,Top,Top
268384,Top,Top,Top
268385,Top,Top,Top
268386,Top,Middle,Middle
268387,Top,Top,Top
268388,Middle,Middle,Middle
268389,Top,Top,Top
268390,Top,Top,Top
268391,Middle,Middle,Top
268392,Middle,Middle,Middle
268393,Low,Low,Middle
268394,Middle,Middle,Middle
268395,Middle,Low,Low
268397,Middle,Middle,Middle
268399,Middle,Middle,Top
268402,Top,Middle,Middle
268403,Top,Top,Top
268405,Middle,Middle,Middle
268407,Middle,Middle,Middle
268408,Top,Top,Top
268411,Top,Top,Top
268412,Top,Top,Top
268415,Top,Top,Top
268418,Middle,Middle,Top
268419,Top,Top,Top
268421,Top,Top,Middle
268424,Top,Middle,Low
268428,Top,Top,Top
268430,Top,Middle,Top
268431,Top,Top,Top
268433,Middle,Middle,Middle
268434,Middle,Middle,Middle
268436,Top,Top,Top
268438,Top,Top,Top
268440,Middle,Middle,Middle
